,city,local,parameter,value,unit
663,Barcelona,2020-02-29T23:00:00+01:00,no2,51,µg/m³
664,Barcelona,2020-02-29T22:00:00+01:00,no2,52,µg/m³
665,Barcelona,2020-02-29T21:00:00+01:00,no2,78,µg/m³
666,Barcelona,2020-02-29T20:00:00+01:00,no2,78,µg/m³
667,Barcelona,2020-02-29T19:00:00+01:00,no2,58,µg/m³
668,Barcelona,2020-02-29T18:00:00+01:00,no2,29,µg/m³
669,Barcelona,2020-02-29T17:00:00+01:00,no2,18,µg/m³
670,Barcelona,2020-02-29T16:00:00+01:00,no2,13,µg/m³
671,Barcelona,2020-02-29T15:00:00+01:00,no2,15,µg/m³
672,Barcelona,2020-02-29T14:00:00+01:00,no2,14,µg/m³
673,Barcelona,2020-02-29T13:00:00+01:00,no2,14,µg/m³
674,Barcelona,2020-02-29T12:00:00+01:00,no2,12,µg/m³
675,Barcelona,2020-02-29T11:00:00+01:00,no2,14,µg/m³
676,Barcelona,2020-02-29T10:00:00+01:00,no2,20,µg/m³
677,Barcelona,2020-02-29T08:00:00+01:00,no2,20,µg/m³
678,Barcelona,2020-02-29T07:00:00+01:00,no2,14,µg/m³
679,Barcelona,2020-02-29T06:00:00+01:00,no2,11,µg/m³
680,Barcelona,2020-02-29T05:00:00+01:00,no2,13,µg/m³
681,Barcelona,2020-02-29T04:00:00+01:00,no2,18,µg/m³
682,Barcelona,2020-02-29T03:00:00+01:00,no2,37,µg/m³
683,Barcelona,2020-02-29T02:00:00+01:00,no2,27,µg/m³
684,Barcelona,2020-02-29T01:00:00+01:00,no2,22,µg/m³
685,Barcelona,2020-02-29T00:00:00+01:00,no2,22,µg/m³
686,Barcelona,2020-02-28T23:00:00+01:00,no2,31,µg/m³
687,Barcelona,2020-02-28T22:00:00+01:00,no2,31,µg/m³
688,Barcelona,2020-02-28T21:00:00+01:00,no2,35,µg/m³
689,Barcelona,2020-02-28T20:00:00+01:00,no2,30,µg/m³
690,Barcelona,2020-02-28T19:00:00+01:00,no2,25,µg/m³
691,Barcelona,2020-02-28T17:00:00+01:00,no2,26,µg/m³
692,Barcelona,2020-02-28T16:00:00+01:00,no2,19,µg/m³
693,Barcelona,2020-02-28T15:00:00+01:00,no2,21,µg/m³
694,Barcelona,2020-02-28T14:00:00+01:00,no2,20,µg/m³
695,Barcelona,2020-02-28T13:00:00+01:00,no2,23,µg/m³
696,Barcelona,2020-02-28T12:00:00+01:00,no2,20,µg/m³
697,Barcelona,2020-02-28T11:00:00+01:00,no2,33,µg/m³
698,Barcelona,2020-02-28T10:00:00+01:00,no2,27,µg/m³
699,Barcelona,2020-02-28T09:00:00+01:00,no2,41,µg/m³
700,Barcelona,2020-02-28T08:00:00+01:00,no2,55,µg/m³
701,Barcelona,2020-02-28T07:00:00+01:00,no2,54,µg/m³
702,Barcelona,2020-02-28T06:00:00+01:00,no2,48,µg/m³
703,Barcelona,2020-02-28T05:00:00+01:00,no2,31,µg/m³
704,Barcelona,2020-02-28T04:00:00+01:00,no2,21,µg/m³
705,Barcelona,2020-02-28T03:00:00+01:00,no2,17,µg/m³
706,Barcelona,2020-02-28T02:00:00+01:00,no2,18,µg/m³
707,Barcelona,2020-02-28T01:00:00+01:00,no2,14,µg/m³
708,Barcelona,2020-02-28T00:00:00+01:00,no2,7,µg/m³
709,Barcelona,2020-02-27T23:00:00+01:00,no2,10,µg/m³
710,Barcelona,2020-02-27T22:00:00+01:00,no2,11,µg/m³
711,Barcelona,2020-02-27T21:00:00+01:00,no2,23,µg/m³
712,Barcelona,2020-02-27T20:00:00+01:00,no2,21,µg/m³
713,Barcelona,2020-02-27T19:00:00+01:00,no2,24,µg/m³
714,Barcelona,2020-02-27T18:00:00+01:00,no2,17,µg/m³
715,Barcelona,2020-02-27T17:00:00+01:00,no2,15,µg/m³
716,Barcelona,2020-02-27T16:00:00+01:00,no2,11,µg/m³
717,Barcelona,2020-02-27T15:00:00+01:00,no2,12,µg/m³
718,Barcelona,2020-02-27T14:00:00+01:00,no2,12,µg/m³
719,Barcelona,2020-02-27T13:00:00+01:00,no2,19,µg/m³
720,Barcelona,2020-02-27T12:00:00+01:00,no2,20,µg/m³
721,Barcelona,2020-02-27T11:00:00+01:00,no2,19,µg/m³
722,Barcelona,2020-02-27T10:00:00+01:00,no2,31,µg/m³
723,Barcelona,2020-02-27T09:00:00+01:00,no2,25,µg/m³
724,Barcelona,2020-02-27T08:00:00+01:00,no2,25,µg/m³
725,Barcelona,2020-02-27T07:00:00+01:00,no2,20,µg/m³
726,Barcelona,2020-02-27T06:00:00+01:00,no2,18,µg/m³
727,Barcelona,2020-02-27T05:00:00+01:00,no2,15,µg/m³
728,Barcelona,2020-02-27T04:00:00+01:00,no2,15,µg/m³
729,Barcelona,2020-02-27T03:00:00+01:00,no2,10,µg/m³
730,Barcelona,2020-02-27T02:00:00+01:00,no2,12,µg/m³
731,Barcelona,2020-02-27T01:00:00+01:00,no2,17,µg/m³
732,Barcelona,2020-02-27T00:00:00+01:00,no2,12,µg/m³
733,Barcelona,2020-02-26T23:00:00+01:00,no2,27,µg/m³
734,Barcelona,2020-02-26T22:00:00+01:00,no2,18,µg/m³
735,Barcelona,2020-02-26T21:00:00+01:00,no2,24,µg/m³
736,Barcelona,2020-02-26T20:00:00+01:00,no2,26,µg/m³
737,Barcelona,2020-02-26T19:00:00+01:00,no2,14,µg/m³
738,Barcelona,2020-02-26T18:00:00+01:00,no2,16,µg/m³
739,Barcelona,2020-02-26T17:00:00+01:00,no2,10,µg/m³
740,Barcelona,2020-02-26T14:00:00+01:00,no2,11,µg/m³
741,Barcelona,2020-02-26T13:00:00+01:00,no2,11,µg/m³
742,Barcelona,2020-02-26T12:00:00+01:00,no2,12,µg/m³
743,Barcelona,2020-02-26T11:00:00+01:00,no2,13,µg/m³
744,Barcelona,2020-02-26T10:00:00+01:00,no2,18,µg/m³
745,Barcelona,2020-02-26T09:00:00+01:00,no2,16,µg/m³
746,Barcelona,2020-02-26T08:00:00+01:00,no2,21,µg/m³
747,Barcelona,2020-02-26T07:00:00+01:00,no2,16,µg/m³
748,Barcelona,2020-02-26T06:00:00+01:00,no2,35,µg/m³
749,Barcelona,2020-02-26T05:00:00+01:00,no2,10,µg/m³
750,Barcelona,2020-02-26T04:00:00+01:00,no2,9,µg/m³
751,Barcelona,2020-02-26T03:00:00+01:00,no2,25,µg/m³
752,Barcelona,2020-02-26T02:00:00+01:00,no2,26,µg/m³
753,Barcelona,2020-02-26T00:00:00+01:00,no2,28,µg/m³
754,Barcelona,2020-02-25T23:00:00+01:00,no2,37,µg/m³
755,Barcelona,2020-02-25T22:00:00+01:00,no2,32,µg/m³
756,Barcelona,2020-02-25T21:00:00+01:00,no2,27,µg/m³
757,Barcelona,2020-02-25T20:00:00+01:00,no2,28,µg/m³
758,Barcelona,2020-02-25T19:00:00+01:00,no2,24,µg/m³
759,Barcelona,2020-02-25T18:00:00+01:00,no2,20,µg/m³
760,Barcelona,2020-02-25T17:00:00+01:00,no2,18,µg/m³
761,Barcelona,2020-02-25T16:00:00+01:00,no2,20,µg/m³
762,Barcelona,2020-02-25T15:00:00+01:00,no2,21,µg/m³
763,Barcelona,2020-02-25T14:00:00+01:00,no2,25,µg/m³
764,Barcelona,2020-02-25T13:00:00+01:00,no2,37,µg/m³
765,Barcelona,2020-02-25T12:00:00+01:00,no2,73,µg/m³
766,Barcelona,2020-02-25T11:00:00+01:00,no2,43,µg/m³
767,Barcelona,2020-02-25T10:00:00+01:00,no2,49,µg/m³
768,Barcelona,2020-02-25T09:00:00+01:00,no2,63,µg/m³
769,Barcelona,2020-02-25T08:00:00+01:00,no2,65,µg/m³
770,Barcelona,2020-02-25T07:00:00+01:00,no2,57,µg/m³
771,Barcelona,2020-02-25T06:00:00+01:00,no2,52,µg/m³
772,Barcelona,2020-02-25T05:00:00+01:00,no2,52,µg/m³
773,Barcelona,2020-02-25T04:00:00+01:00,no2,53,µg/m³
774,Barcelona,2020-02-25T03:00:00+01:00,no2,63,µg/m³
775,Barcelona,2020-02-25T02:00:00+01:00,no2,78,µg/m³
776,Barcelona,2020-02-25T01:00:00+01:00,no2,89,µg/m³
777,Barcelona,2020-02-25T00:00:00+01:00,no2,95,µg/m³
778,Barcelona,2020-02-24T23:00:00+01:00,no2,97,µg/m³
779,Barcelona,2020-02-24T22:00:00+01:00,no2,70,µg/m³
780,Barcelona,2020-02-24T21:00:00+01:00,no2,83,µg/m³
781,Barcelona,2020-02-24T20:00:00+01:00,no2,73,µg/m³
782,Barcelona,2020-02-24T19:00:00+01:00,no2,43,µg/m³
783,Barcelona,2020-02-24T18:00:00+01:00,no2,29,µg/m³
784,Barcelona,2020-02-24T17:00:00+01:00,no2,25,µg/m³
785,Barcelona,2020-02-24T16:00:00+01:00,no2,23,µg/m³
786,Barcelona,2020-02-24T15:00:00+01:00,no2,26,µg/m³
787,Barcelona,2020-02-24T14:00:00+01:00,no2,31,µg/m³
788,Barcelona,2020-02-24T13:00:00+01:00,no2,44,µg/m³
789,Barcelona,2020-02-24T12:00:00+01:00,no2,45,µg/m³
790,Barcelona,2020-02-24T11:00:00+01:00,no2,51,µg/m³
791,Barcelona,2020-02-24T10:00:00+01:00,no2,85,µg/m³
792,Barcelona,2020-02-24T09:00:00+01:00,no2,72,µg/m³
793,Barcelona,2020-02-24T08:00:00+01:00,no2,59,µg/m³
794,Barcelona,2020-02-24T07:00:00+01:00,no2,54,µg/m³
795,Barcelona,2020-02-24T06:00:00+01:00,no2,56,µg/m³
796,Barcelona,2020-02-24T05:00:00+01:00,no2,58,µg/m³
797,Barcelona,2020-02-24T04:00:00+01:00,no2,61,µg/m³
798,Barcelona,2020-02-24T03:00:00+01:00,no2,63,µg/m³
799,Barcelona,2020-02-24T02:00:00+01:00,no2,68,µg/m³
800,Barcelona,2020-02-24T01:00:00+01:00,no2,74,µg/m³
801,Barcelona,2020-02-24T00:00:00+01:00,no2,78,µg/m³
802,Barcelona,2020-02-23T23:00:00+01:00,no2,75,µg/m³
803,Barcelona,2020-02-23T22:00:00+01:00,no2,51,µg/m³
804,Barcelona,2020-02-23T21:00:00+01:00,no2,45,µg/m³
805,Barcelona,2020-02-23T20:00:00+01:00,no2,57,µg/m³
806,Barcelona,2020-02-23T19:00:00+01:00,no2,29,µg/m³
807,Barcelona,2020-02-23T18:00:00+01:00,no2,17,µg/m³
808,Barcelona,2020-02-23T17:00:00+01:00,no2,12,µg/m³
809,Barcelona,2020-02-23T16:00:00+01:00,no2,12,µg/m³
810,Barcelona,2020-02-23T15:00:00+01:00,no2,15,µg/m³
